epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,316.296,0.71892,4.58369,1.27924,0.19393,0.06761,0.0247,0.0193,0.78265,3.48314,1.38182,0.00333009,0.00333009,0.00333009
2,1598.08,0.83115,3.78409,1.33085,0.18242,0.23253,0.09223,0.0692,0.86351,3.02441,1.43402,0.00653149,0.00653149,0.00653149
3,1960.28,0.90086,3.47144,1.36549,0.16403,0.18774,0.07266,0.04872,1.07466,3.35981,1.68892,0.00960088,0.00960088,0.00960088
4,2261.57,0.92594,3.30045,1.37788,0.22918,0.35117,0.18719,0.13704,0.89119,2.57837,1.46709,0.009406,0.009406,0.009406
5,2563.89,0.88917,2.97594,1.34596,0.23981,0.37362,0.2472,0.18876,0.80551,2.32067,1.36901,0.009208,0.009208,0.009208
6,2865.6,0.85982,2.73548,1.32253,0.29381,0.3815,0.26332,0.20316,0.79538,2.27964,1.34796,0.00901,0.00901,0.00901
7,3167.37,0.83683,2.57952,1.30376,0.3025,0.46732,0.33625,0.26389,0.76438,2.05127,1.32547,0.008812,0.008812,0.008812
8,3470.36,0.80978,2.43298,1.28642,0.35485,0.4657,0.38059,0.30404,0.70672,1.90949,1.26418,0.008614,0.008614,0.008614
9,3774.6,0.79439,2.33976,1.27482,0.37168,0.48131,0.40864,0.32372,0.71413,1.83782,1.26002,0.008416,0.008416,0.008416
10,4076.12,0.78023,2.26388,1.26581,0.41005,0.51876,0.46164,0.37604,0.66444,1.67386,1.21138,0.008218,0.008218,0.008218
11,4377.87,0.76662,2.19484,1.25513,0.43469,0.52266,0.48498,0.40097,0.64529,1.63537,1.19453,0.00802,0.00802,0.00802
12,4711.74,0.753,2.12111,1.24586,0.45153,0.57011,0.51945,0.42376,0.64712,1.53506,1.20411,0.007822,0.007822,0.007822
13,5087.09,0.74195,2.08395,1.23746,0.47673,0.57945,0.54853,0.4525,0.61926,1.46888,1.17167,0.007624,0.007624,0.007624
14,5464.94,0.73973,2.04104,1.23637,0.49604,0.57469,0.55936,0.46555,0.61522,1.43164,1.16784,0.007426,0.007426,0.007426
15,5840.1,0.72761,1.99021,1.22639,0.49452,0.5946,0.57156,0.4784,0.6004,1.39693,1.15082,0.007228,0.007228,0.007228
16,6214.96,0.7243,1.95624,1.22404,0.53745,0.61436,0.60568,0.50721,0.58981,1.31156,1.13939,0.00703,0.00703,0.00703
17,6589.89,0.71419,1.9051,1.21486,0.55603,0.6193,0.61873,0.51885,0.58065,1.28357,1.13356,0.006832,0.006832,0.006832
18,7005.4,0.70544,1.87607,1.21435,0.56507,0.60807,0.63724,0.53638,0.57702,1.2561,1.13092,0.006634,0.006634,0.006634
19,35942.2,0.70146,1.84645,1.20992,0.56652,0.63367,0.64481,0.5448,0.56891,1.23206,1.12087,0.006436,0.006436,0.006436
20,36258.8,0.69727,1.81531,1.20484,0.59667,0.64493,0.66029,0.56251,0.56342,1.1748,1.10795,0.006238,0.006238,0.006238
21,36563,0.68861,1.78524,1.19767,0.6167,0.64351,0.67425,0.57559,0.55319,1.14226,1.104,0.00604,0.00604,0.00604
22,36866.6,0.68397,1.7515,1.19636,0.61473,0.65941,0.68248,0.58326,0.5435,1.11748,1.09263,0.005842,0.005842,0.005842
23,37171.4,0.6815,1.72958,1.19645,0.65342,0.63455,0.69262,0.59814,0.53,1.10014,1.07708,0.005644,0.005644,0.005644
24,37475.8,0.67482,1.70637,1.18953,0.6356,0.67385,0.7051,0.60779,0.52691,1.06608,1.07658,0.005446,0.005446,0.005446
25,37779.7,0.66874,1.67049,1.1842,0.64286,0.67513,0.70776,0.61245,0.52699,1.06147,1.07487,0.005248,0.005248,0.005248
26,38084.4,0.66572,1.65283,1.18275,0.65047,0.68177,0.71907,0.62211,0.52177,1.03154,1.07139,0.00505,0.00505,0.00505
27,38389,0.65388,1.62154,1.17489,0.65162,0.69028,0.72438,0.62913,0.51139,1.01726,1.06153,0.004852,0.004852,0.004852
28,38693.1,0.65355,1.59774,1.17862,0.67242,0.68544,0.73196,0.63788,0.50947,0.99987,1.05806,0.004654,0.004654,0.004654
29,38997.3,0.65027,1.57139,1.17153,0.68164,0.69664,0.74233,0.64793,0.50687,0.97504,1.05664,0.004456,0.004456,0.004456
30,39301.6,0.64395,1.551,1.16655,0.68643,0.6976,0.74653,0.65161,0.50886,0.9616,1.05351,0.004258,0.004258,0.004258
31,39606.5,0.64129,1.52459,1.16781,0.69983,0.69228,0.75251,0.65592,0.50928,0.9519,1.05452,0.00406,0.00406,0.00406
32,39911.9,0.63831,1.5145,1.16223,0.68315,0.71595,0.75523,0.66091,0.50058,0.93707,1.04532,0.003862,0.003862,0.003862
33,40217.7,0.6263,1.48747,1.15757,0.68754,0.7126,0.75808,0.66469,0.49511,0.93152,1.04132,0.003664,0.003664,0.003664
34,40521.7,0.63138,1.47416,1.15934,0.70304,0.71832,0.76516,0.67123,0.49403,0.9172,1.04083,0.003466,0.003466,0.003466
35,40826,0.62378,1.44215,1.15252,0.70032,0.71155,0.76735,0.67473,0.49188,0.91219,1.03967,0.003268,0.003268,0.003268
36,41129.6,0.61761,1.41973,1.14956,0.70924,0.73127,0.77234,0.67847,0.48897,0.89901,1.03708,0.00307,0.00307,0.00307
37,41432.9,0.61946,1.41251,1.15316,0.71454,0.71614,0.77437,0.67939,0.48768,0.89077,1.03417,0.002872,0.002872,0.002872
38,41737.4,0.60737,1.38467,1.14492,0.72087,0.7177,0.77603,0.68284,0.48675,0.88546,1.03178,0.002674,0.002674,0.002674
39,42041.4,0.60204,1.3796,1.14066,0.71541,0.7307,0.77971,0.68637,0.4867,0.8785,1.03228,0.002476,0.002476,0.002476
40,42345,0.6029,1.34561,1.14003,0.71488,0.7322,0.78238,0.69158,0.48145,0.87019,1.02681,0.002278,0.002278,0.002278
41,42629,0.45049,0.84772,1.07255,0.71591,0.7361,0.78341,0.6931,0.47561,0.86306,1.02126,0.00208,0.00208,0.00208
42,42912.7,0.43829,0.79277,1.05997,0.72402,0.73248,0.78546,0.69523,0.47189,0.85776,1.02026,0.001882,0.001882,0.001882
43,43196.9,0.43052,0.76536,1.05307,0.74723,0.71968,0.78585,0.69714,0.46898,0.84959,1.01815,0.001684,0.001684,0.001684
44,43481.2,0.41926,0.73794,1.04442,0.74053,0.72402,0.78623,0.69933,0.46623,0.84681,1.01599,0.001486,0.001486,0.001486
45,43765.9,0.41454,0.70999,1.03968,0.73478,0.73156,0.78709,0.70037,0.46306,0.843,1.01287,0.001288,0.001288,0.001288
46,44050.3,0.40701,0.68516,1.03322,0.73719,0.73208,0.7879,0.70128,0.46111,0.84026,1.01076,0.00109,0.00109,0.00109
47,44333.9,0.40056,0.67033,1.02835,0.74922,0.72082,0.78865,0.70215,0.4593,0.83705,1.00898,0.000892,0.000892,0.000892
48,44617.9,0.394,0.6375,1.0207,0.74929,0.7222,0.78857,0.70283,0.45858,0.83608,1.00794,0.000694,0.000694,0.000694
49,44901.4,0.38836,0.62383,1.01558,0.75132,0.72086,0.78908,0.70418,0.45755,0.8361,1.00677,0.000496,0.000496,0.000496
50,45184.7,0.386,0.60971,1.01707,0.7493,0.72618,0.78882,0.70333,0.45689,0.83665,1.00581,0.000298,0.000298,0.000298
