epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.576,0.70781,2.54213,1.14506,0.43735,0.50066,0.48571,0.41959,0.53712,1.77102,1.05226,1.62898e-05,1.62898e-05,1.62898e-05
2,378.047,0.70221,2.45485,1.14293,0.42101,0.51448,0.48039,0.41293,0.54964,1.78886,1.06202,3.19772e-05,3.19772e-05,3.19772e-05
3,625.369,0.70496,2.43578,1.1452,0.431,0.51069,0.48768,0.41697,0.55777,1.76982,1.06315,4.70178e-05,4.70178e-05,4.70178e-05
4,834.621,0.71262,2.41217,1.15141,0.43149,0.52234,0.4888,0.41698,0.5542,1.75811,1.06317,4.60894e-05,4.60894e-05,4.60894e-05
5,1081.76,0.69355,2.37231,1.13682,0.45065,0.51058,0.49553,0.423,0.55634,1.73641,1.06827,4.51192e-05,4.51192e-05,4.51192e-05
6,1292.62,0.70164,2.33688,1.1425,0.45364,0.52878,0.50677,0.43263,0.56111,1.70282,1.0644,4.4149e-05,4.4149e-05,4.4149e-05
7,1501.47,0.69002,2.29029,1.13023,0.46381,0.53013,0.50629,0.43198,0.55872,1.70619,1.07205,4.31788e-05,4.31788e-05,4.31788e-05
8,1727.55,0.6962,2.25546,1.13385,0.49321,0.52183,0.52814,0.45263,0.55006,1.64477,1.06221,4.22086e-05,4.22086e-05,4.22086e-05
9,1941.94,0.68753,2.22858,1.12888,0.48109,0.52754,0.52445,0.45062,0.55081,1.67366,1.06289,4.12384e-05,4.12384e-05,4.12384e-05
10,2150.89,0.68774,2.19382,1.13081,0.47719,0.53666,0.53128,0.45443,0.55057,1.63842,1.06378,4.02682e-05,4.02682e-05,4.02682e-05
11,2377.29,0.67478,2.16525,1.12555,0.49954,0.54767,0.5432,0.46474,0.55301,1.59893,1.06366,3.9298e-05,3.9298e-05,3.9298e-05
12,2758.34,0.67028,2.12534,1.11714,0.50973,0.54782,0.5553,0.47557,0.5502,1.58272,1.05977,3.83278e-05,3.83278e-05,3.83278e-05
13,3191.48,0.67915,2.10242,1.12807,0.51307,0.54942,0.56173,0.48253,0.54904,1.56267,1.06012,3.73576e-05,3.73576e-05,3.73576e-05
14,3536.58,0.67307,2.08533,1.12052,0.51738,0.55914,0.5659,0.48416,0.54885,1.54543,1.06312,3.63874e-05,3.63874e-05,3.63874e-05
15,3741.98,0.6715,2.062,1.12253,0.54403,0.56004,0.57785,0.49547,0.5469,1.51404,1.05714,3.54172e-05,3.54172e-05,3.54172e-05
16,3954.15,0.66438,2.03403,1.11785,0.54588,0.5548,0.57965,0.49684,0.54733,1.51073,1.05845,3.4447e-05,3.4447e-05,3.4447e-05
17,4156.2,0.66811,2.02004,1.12007,0.53766,0.57074,0.58711,0.50277,0.54916,1.50202,1.0634,3.34768e-05,3.34768e-05,3.34768e-05
18,4363.43,0.66538,2.00629,1.11554,0.54246,0.56317,0.58603,0.50118,0.54894,1.47989,1.05909,3.25066e-05,3.25066e-05,3.25066e-05
19,4572.5,0.6705,1.99042,1.12108,0.54064,0.56682,0.58655,0.50386,0.54786,1.48095,1.05405,3.15364e-05,3.15364e-05,3.15364e-05
20,4779.48,0.65944,1.95039,1.11082,0.55761,0.5632,0.59411,0.51138,0.54198,1.45843,1.05528,3.05662e-05,3.05662e-05,3.05662e-05
21,4989.37,0.65304,1.92529,1.11051,0.56077,0.5783,0.6033,0.51882,0.53924,1.44399,1.05385,2.9596e-05,2.9596e-05,2.9596e-05
22,5194.27,0.65754,1.90833,1.11106,0.54848,0.59192,0.60551,0.52123,0.53936,1.43649,1.05121,2.86258e-05,2.86258e-05,2.86258e-05
23,5407.01,0.6585,1.89903,1.11237,0.56422,0.58714,0.60479,0.52153,0.53902,1.44611,1.05151,2.76556e-05,2.76556e-05,2.76556e-05
24,5617.16,0.64995,1.87684,1.10541,0.56525,0.57462,0.60757,0.52388,0.53879,1.43037,1.04939,2.66854e-05,2.66854e-05,2.66854e-05
25,5835.85,0.65765,1.87203,1.11245,0.58646,0.57458,0.61466,0.52911,0.54216,1.41378,1.05367,2.57152e-05,2.57152e-05,2.57152e-05
26,6048.82,0.64977,1.85995,1.10932,0.56824,0.58302,0.61402,0.52957,0.54237,1.41818,1.05181,2.4745e-05,2.4745e-05,2.4745e-05
27,6255.87,0.64763,1.84638,1.10313,0.59952,0.57582,0.6236,0.53653,0.54415,1.387,1.05763,2.37748e-05,2.37748e-05,2.37748e-05
28,6464.3,0.64309,1.82463,1.10055,0.59094,0.5927,0.6239,0.53684,0.54511,1.37979,1.05423,2.28046e-05,2.28046e-05,2.28046e-05
29,6687.26,0.64715,1.81994,1.1066,0.58797,0.59245,0.6282,0.54209,0.53997,1.37037,1.05284,2.18344e-05,2.18344e-05,2.18344e-05
30,6896.87,0.64328,1.79046,1.09964,0.59071,0.59663,0.62599,0.53855,0.54245,1.38213,1.0533,2.08642e-05,2.08642e-05,2.08642e-05
31,7106.75,0.6432,1.78925,1.09619,0.5916,0.60397,0.63496,0.54731,0.54247,1.35473,1.05351,1.9894e-05,1.9894e-05,1.9894e-05
32,7311.15,0.63913,1.77877,1.10012,0.59995,0.60605,0.63731,0.54886,0.54192,1.35391,1.05181,1.89238e-05,1.89238e-05,1.89238e-05
33,7519.02,0.6395,1.76718,1.09977,0.58048,0.62025,0.63647,0.54932,0.53503,1.35363,1.04786,1.79536e-05,1.79536e-05,1.79536e-05
34,7723.37,0.64269,1.76818,1.10353,0.60487,0.60093,0.63844,0.55068,0.53876,1.33788,1.05215,1.69834e-05,1.69834e-05,1.69834e-05
35,7928.25,0.64092,1.76172,1.10117,0.6034,0.60992,0.6398,0.5525,0.53802,1.33829,1.05102,1.60132e-05,1.60132e-05,1.60132e-05
36,8135.24,0.63015,1.73592,1.09502,0.60633,0.60737,0.64321,0.55615,0.53683,1.33513,1.05106,1.5043e-05,1.5043e-05,1.5043e-05
37,8340.71,0.63758,1.73265,1.0987,0.60272,0.60839,0.64376,0.55667,0.53606,1.32688,1.04957,1.40728e-05,1.40728e-05,1.40728e-05
38,8546.04,0.63934,1.7149,1.09872,0.60618,0.61316,0.64875,0.56066,0.53646,1.31928,1.04906,1.31026e-05,1.31026e-05,1.31026e-05
39,8749.62,0.63256,1.7146,1.09555,0.60949,0.61343,0.64938,0.56174,0.5348,1.30903,1.04932,1.21324e-05,1.21324e-05,1.21324e-05
40,8956.47,0.628,1.71287,1.09352,0.62474,0.60088,0.64894,0.56159,0.5336,1.31738,1.04654,1.11622e-05,1.11622e-05,1.11622e-05
41,9167.58,0.44341,1.36329,0.98583,0.56964,0.61145,0.62156,0.5346,0.5402,1.3412,1.05787,1.0192e-05,1.0192e-05,1.0192e-05
42,9368.61,0.43456,1.27345,0.98043,0.5897,0.61283,0.63345,0.54624,0.53478,1.31137,1.05472,9.2218e-06,9.2218e-06,9.2218e-06
43,9570.26,0.42948,1.25741,0.97514,0.59034,0.61749,0.63494,0.54983,0.53135,1.30325,1.05154,8.2516e-06,8.2516e-06,8.2516e-06
44,9770.52,0.42656,1.22092,0.97043,0.61202,0.60287,0.6391,0.55208,0.53133,1.29107,1.05017,7.2814e-06,7.2814e-06,7.2814e-06
45,9969.51,0.42487,1.2079,0.96826,0.60669,0.60896,0.63969,0.55405,0.52936,1.29027,1.04774,6.3112e-06,6.3112e-06,6.3112e-06
46,10172.9,0.42608,1.21303,0.97503,0.6035,0.61379,0.64222,0.55566,0.53083,1.28923,1.0488,5.341e-06,5.341e-06,5.341e-06
47,10374.3,0.42074,1.18949,0.96506,0.59862,0.62512,0.64526,0.55806,0.52937,1.27813,1.04778,4.3708e-06,4.3708e-06,4.3708e-06
48,10576,0.42215,1.19727,0.96403,0.60103,0.62277,0.64356,0.5572,0.52885,1.28033,1.04782,3.4006e-06,3.4006e-06,3.4006e-06
49,10785.3,0.41758,1.18105,0.96238,0.61387,0.61292,0.64726,0.55979,0.52826,1.27316,1.04816,2.4304e-06,2.4304e-06,2.4304e-06
50,10992.9,0.41766,1.17346,0.96273,0.61817,0.61181,0.64724,0.56058,0.52837,1.27388,1.048,1.4602e-06,1.4602e-06,1.4602e-06
